GEO_ID_2,GEO_ID,MSA,HH_TOT,HH_FAMILY,HH_MAR_FAM,HH_OTHER_FAM,HH_MALE_FAM,HH_FEMALE_FAM,HH_NON_FAMILY,HH_LIVING_ALONE,HH_NOT_LIVING_ALONE
19300,310M200US19300,"Daphne-Fairhope-Foley, AL Metro Area",74104,50276,39968,10308,2600,7708,23828,20773,3055
19340,310M200US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",154877,98409,74768,23641,6230,17411,56468,48033,8435
19380,310M200US19380,"Dayton, OH Metro Area",328004,203927,144914,59013,14394,44619,124077,105511,18566
19460,310M200US19460,"Decatur, AL Metro Area",59772,41298,30462,10836,2770,8066,18474,16421,2053
19500,310M200US19500,"Decatur, IL Metro Area",44915,27658,19874,7784,1858,5926,17257,14951,2306
19660,310M200US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",237130,149233,113398,35835,10290,25545,87897,71826,16071
19740,310M200US19740,"Denver-Aurora-Lakewood, CO Metro Area",1042103,658359,498919,159440,48884,110556,383744,300342,83402
19780,310M200US19780,"Des Moines-West Des Moines, IA Metro Area",233390,154650,119309,35341,10637,24704,78740,63171,15569
19820,310M200US19820,"Detroit-Warren-Dearborn, MI Metro Area",1662948,1081123,757919,323204,80880,242324,581825,499096,82729
20020,310M200US20020,"Dothan, AL Metro Area",56845,38150,27218,10932,2137,8795,18695,16353,2342
20100,310M200US20100,"Dover, DE Metro Area",60571,42277,30476,11801,2866,8935,18294,14443,3851
20220,310M200US20220,"Dubuque, IA Metro Area",37891,24814,19904,4910,1439,3471,13077,10646,2431
20260,310M200US20260,"Duluth, MN-WI Metro Area",116524,70026,53447,16579,5297,11282,46498,37966,8532
20500,310M200US20500,"Durham-Chapel Hill, NC Metro Area",210161,128281,92291,35990,8509,27481,81880,64282,17598
20700,310M200US20700,"East Stroudsburg, PA Metro Area",57297,41743,31757,9986,3041,6945,15554,12010,3544
20740,310M200US20740,"Eau Claire, WI Metro Area",64766,40100,32448,7652,2722,4930,24666,18793,5873
20940,310M200US20940,"El Centro, CA Metro Area",46452,35874,23954,11920,2851,9069,10578,9060,1518
21060,310M200US21060,"Elizabethtown-Fort Knox, KY Metro Area",56278,39717,29739,9978,2752,7226,16561,14181,2380
21140,310M200US21140,"Elkhart-Goshen, IN Metro Area",70439,50577,37435,13142,4085,9057,19862,16329,3533
21300,310M200US21300,"Elmira, NY Metro Area",35167,21951,16172,5779,1417,4362,13216,10512,2704
