Risk_Score,Race,Gender,Age_Cat,Edu_Cat,Htn,Freq_nhanes,Mean_Tchols,Err_Tchols,Mean_HDL,Err_HDL,Mean_bp,Err_bp,smoking_stat
31,WhiteNH,Male,Age_45_54,some_coll_,1,21.3969,270.0728482,3.795138749,37.60361491,0.546457069,135.5655195,1.265756392,0
32,WhiteNH,Male,Age_45_54,some_coll_,1,2.35E-05,270.4475592,3.704472771,36.65469096,1.030724883,135.2425746,2.840217463,1
1,WhiteNH,Male,Age_55_64,HS_or_less,0,15.5941,192.6355378,1.463102939,62.77221725,0.653340209,110.6741456,0.496931512,0
2,WhiteNH,Male,Age_55_64,HS_or_less,0,8.39242,194.7365851,2.272702883,62.84678375,0.937413449,111.17144,0.822453554,1
3,WhiteNH,Male,Age_55_64,HS_or_less,0,32.1454,197.7005727,1.468541227,62.41508366,0.681443889,134.7905978,0.612926476,0
4,WhiteNH,Male,Age_55_64,HS_or_less,0,2.19348,261.4537633,1.965001904,65.50809767,1.308561521,111.5917727,0.564053382,0
5,WhiteNH,Male,Age_55_64,HS_or_less,0,16.4996,185.5759035,1.840732278,40.07144119,0.494587962,112.4761197,0.460291738,0
6,WhiteNH,Male,Age_55_64,HS_or_less,0,14.9788,195.4888145,2.024666576,64.39680571,1.016061815,136.9569501,0.895435294,1
7,WhiteNH,Male,Age_55_64,HS_or_less,0,4.78705,263.6264711,3.651732912,63.55594343,1.880373055,111.4190267,0.895843617,1
8,WhiteNH,Male,Age_55_64,HS_or_less,0,19.6571,188.3600445,2.278932093,38.69765634,0.424983726,111.5062434,0.702029063,1
9,WhiteNH,Male,Age_55_64,HS_or_less,0,41.7535,190.9536334,1.431144133,39.41833211,0.381668394,134.0865129,0.532189681,0
10,WhiteNH,Male,Age_55_64,HS_or_less,0,10.6667,265.0814989,2.668457846,39.32743606,0.855866695,112.5370806,0.859945848,0
11,WhiteNH,Male,Age_55_64,HS_or_less,0,5.85658,268.1660071,2.002357009,67.91816703,1.339974418,136.1466316,0.809357035,0
12,WhiteNH,Male,Age_55_64,HS_or_less,0,11.5283,269.1493864,3.287850357,67.37513925,2.056634619,142.945902,2.434475014,1
13,WhiteNH,Male,Age_55_64,HS_or_less,0,36.3546,190.8175494,2.157350908,38.06763934,0.58102534,135.541428,0.890081495,1
14,WhiteNH,Male,Age_55_64,HS_or_less,0,3.33918,274.2916697,3.565100777,38.78702985,0.86776061,112.9215959,0.897832737,1
15,WhiteNH,Male,Age_55_64,HS_or_less,0,4.14415,273.3181703,3.700544387,39.13061144,0.550441902,137.231326,1.189132269,0
16,WhiteNH,Male,Age_55_64,HS_or_less,0,17.7911,273.6928813,3.189871024,38.1816875,0.957191972,136.9083811,2.941078988,1
17,WhiteNH,Male,Age_55_64,HS_or_less,1,2.08855,188.8396344,1.541029666,60.95621392,0.71202871,112.3115273,0.581954484,0
18,WhiteNH,Male,Age_55_64,HS_or_less,1,0.473455,190.9406817,2.253607175,61.03078042,0.927919547,112.8088217,0.861620043,1
19,WhiteNH,Male,Age_55_64,HS_or_less,1,15.8847,193.9046693,1.4720779,60.59908033,0.740637325,136.4279795,0.619671667,0
20,WhiteNH,Male,Age_55_64,HS_or_less,1,0.74533,257.6578599,2.046137442,63.69209434,1.423143426,113.2291544,0.632531752,0
21,WhiteNH,Male,Age_55_64,HS_or_less,1,6.18902,181.7800001,1.723279136,38.25543786,0.56491908,114.1135014,0.518197116,0
22,WhiteNH,Male,Age_55_64,HS_or_less,1,4.89026,191.6929111,2.020791327,62.58080238,1.030108594,138.5943318,0.787617128,1
23,WhiteNH,Male,Age_55_64,HS_or_less,1,0,259.8305676,3.72179884,61.7399401,1.903239125,113.0564084,0.914583141,1
24,WhiteNH,Male,Age_55_64,HS_or_less,1,0.0254448,184.5641411,2.280394888,36.88165301,0.543955116,113.1436251,0.804656013,1
25,WhiteNH,Male,Age_55_64,HS_or_less,1,15.8414,187.15773,1.35314456,37.60232878,0.482011911,135.7238946,0.581120965,0
26,WhiteNH,Male,Age_55_64,HS_or_less,1,4.083,261.2855955,2.714756095,37.51143273,0.933813964,114.1744622,0.888627943,0
27,WhiteNH,Male,Age_55_64,HS_or_less,1,1.07307,264.3701037,2.232035188,66.1021637,1.319306482,137.7840133,0.795480855,0
28,WhiteNH,Male,Age_55_64,HS_or_less,1,0.00932111,265.3534829,3.433289142,65.55913592,2.083267261,144.5832837,2.483327388,1
29,WhiteNH,Male,Age_55_64,HS_or_less,1,1.0888,187.0216459,2.172610374,36.25163601,0.663508447,137.1788097,0.906212996,1
30,WhiteNH,Male,Age_55_64,HS_or_less,1,0.470185,270.4957663,3.43814552,36.97102652,0.974297528,114.5589776,0.925173747,1
31,WhiteNH,Male,Age_55_64,HS_or_less,1,0.002538,269.5222669,3.559705187,37.31460811,0.638594075,138.8687077,1.289647683,0
32,WhiteNH,Male,Age_55_64,HS_or_less,1,0.0231736,269.8969779,3.219405945,36.36568416,1.026876868,138.5457628,2.90451459,1
1,WhiteNH,Male,Age_55_64,some_coll_,0,72.8719,192.9505752,1.247077101,64.51983476,0.624434646,109.2129981,0.397641935,0
2,WhiteNH,Male,Age_55_64,some_coll_,0,16.0006,195.0516225,2.122659901,64.59440126,0.932710337,109.7102925,0.811744401,1
3,WhiteNH,Male,Age_55_64,some_coll_,0,114.588,198.0156101,1.280298177,64.16270117,0.674744932,133.3294503,0.520926977,0
4,WhiteNH,Male,Age_55_64,some_coll_,0,15.8616,261.7688007,1.87492419,67.25571518,1.335243534,110.1306252,0.581291728,0
5,WhiteNH,Male,Age_55_64,some_coll_,0,107.741,185.8909409,1.657663508,41.81905871,0.472950382,111.0149722,0.38657112,0
6,WhiteNH,Male,Age_55_64,some_coll_,0,29.1967,195.8038519,1.909267004,66.14442322,1.040977409,135.4958025,0.851046601,1
7,WhiteNH,Male,Age_55_64,some_coll_,0,0.500586,263.9415084,3.568634068,65.30356094,1.883896538,109.9578792,0.911931865,1
