Race,Gender,Education,Age,Rf,ll,ul
WhiteNH,Male,some_coll_,Age_55_64,8,108.5194255,111.247753
WhiteNH,Male,some_coll_,Age_55_64,9,132.9120936,134.6853595
WhiteNH,Male,some_coll_,Age_55_64,10,109.3583259,112.7839242
WhiteNH,Male,some_coll_,Age_55_64,11,133.899213,137.0181911
WhiteNH,Male,some_coll_,Age_55_64,12,136.6299701,147.3038252
WhiteNH,Male,some_coll_,Age_55_64,13,132.9278172,136.2070645
WhiteNH,Male,some_coll_,Age_55_64,14,108.3645405,112.2772036
WhiteNH,Male,some_coll_,Age_55_64,15,134.5452413,139.7961983
WhiteNH,Male,some_coll_,Age_55_64,16,132.5704139,145.9105734
WhiteNH,Male,HS_or_less,Age_65_74,1,111.5034369,113.3843978
WhiteNH,Male,HS_or_less,Age_65_74,2,111.3448187,114.6719593
WhiteNH,Male,HS_or_less,Age_65_74,3,136.5777632,138.7294488
WhiteNH,Male,HS_or_less,Age_65_74,4,111.9028962,114.6709898
WhiteNH,Male,HS_or_less,Age_65_74,5,112.90516,115.0769257
WhiteNH,Male,HS_or_less,Age_65_74,6,137.8588052,141.6020658
WhiteNH,Male,HS_or_less,Age_65_74,7,110.3223488,114.8260649
WhiteNH,Male,HS_or_less,Age_65_74,8,111.7952408,114.8913686
WhiteNH,Male,HS_or_less,Age_65_74,9,136.0075601,138.5093239
WhiteNH,Male,HS_or_less,Age_65_74,10,112.5584429,116.5032381
WhiteNH,Male,HS_or_less,Age_65_74,11,137.2672819,140.569553
WhiteNH,Male,HS_or_less,Age_65_74,12,140.161352,150.6918741
WhiteNH,Male,HS_or_less,Age_65_74,13,136.2949492,139.7593633
WhiteNH,Male,HS_or_less,Age_65_74,14,111.666121,115.895054
WhiteNH,Male,HS_or_less,Age_65_74,15,138.132412,143.1284585
WhiteNH,Male,HS_or_less,Age_65_74,16,135.9327028,149.4677153
WhiteNH,Male,some_coll_,Age_65_74,1,110.4019755,112.2484008
WhiteNH,Male,some_coll_,Age_65_74,2,110.0842482,113.6950715
WhiteNH,Male,some_coll_,Age_65_74,3,135.5202557,137.5494979
WhiteNH,Male,some_coll_,Age_65_74,4,110.6466043,113.6898233
WhiteNH,Male,some_coll_,Age_65_74,5,111.8477161,113.8969112
WhiteNH,Male,some_coll_,Age_65_74,6,136.8714553,140.3519572
WhiteNH,Male,some_coll_,Age_65_74,7,109.0889435,113.8220118
WhiteNH,Male,some_coll_,Age_65_74,8,110.5349911,113.9141599
WhiteNH,Male,some_coll_,Age_65_74,9,134.9139764,137.3654492
WhiteNH,Male,some_coll_,Age_65_74,10,111.4468733,115.3773493
WhiteNH,Male,some_coll_,Age_65_74,11,136.1390149,139.4603616
WhiteNH,Male,some_coll_,Age_65_74,12,139.0043405,149.6114272
WhiteNH,Male,some_coll_,Age_65_74,13,135.1459986,138.6708555
WhiteNH,Male,some_coll_,Age_65_74,14,110.4679641,114.8557525
WhiteNH,Male,some_coll_,Age_65_74,15,136.8466574,142.1767546
WhiteNH,Male,some_coll_,Age_65_74,16,134.7696387,148.393321
WhiteNH,Male,HS_or_less,Age_75_,1,115.0136928,117.5395763
WhiteNH,Male,HS_or_less,Age_75_,2,114.7675301,118.9146823
WhiteNH,Male,HS_or_less,Age_75_,3,140.0842789,142.8883674
WhiteNH,Male,HS_or_less,Age_75_,4,115.4760839,118.7632365
WhiteNH,Male,HS_or_less,Age_75_,5,116.6086017,119.0389184
WhiteNH,Male,HS_or_less,Age_75_,6,141.7142708,145.4120345
WhiteNH,Male,HS_or_less,Age_75_,7,114.3386677,118.4751804
WhiteNH,Male,HS_or_less,Age_75_,8,115.4321354,118.9199083
WhiteNH,Male,HS_or_less,Age_75_,9,139.8157936,142.3665247
WhiteNH,Male,HS_or_less,Age_75_,10,116.2926389,120.4344764
WhiteNH,Male,HS_or_less,Age_75_,11,140.7517966,144.7504727
WhiteNH,Male,HS_or_less,Age_75_,12,143.6275063,154.8911541
WhiteNH,Male,HS_or_less,Age_75_,13,140.1928673,143.5268796
WhiteNH,Male,HS_or_less,Age_75_,14,115.3163814,119.9102279
WhiteNH,Male,HS_or_less,Age_75_,15,141.8956164,147.0306884
WhiteNH,Male,HS_or_less,Age_75_,16,139.8052768,153.2605757
WhiteNH,Male,some_coll_,Age_75_,1,113.816413,116.4993977
WhiteNH,Male,some_coll_,Age_75_,2,113.4799397,117.9648143
WhiteNH,Male,some_coll_,Age_75_,3,138.9272788,141.8079092
WhiteNH,Male,some_coll_,Age_75_,4,114.1739623,117.8278997
WhiteNH,Male,some_coll_,Age_75_,5,115.4464482,117.9636134
WhiteNH,Male,some_coll_,Age_75_,6,140.661,144.2278469
WhiteNH,Male,some_coll_,Age_75_,7,113.0422952,117.5340945
WhiteNH,Male,some_coll_,Age_75_,8,114.1243946,117.9901908
WhiteNH,Male,some_coll_,Age_75_,9,138.6304004,141.3144595
WhiteNH,Male,some_coll_,Age_75_,10,115.1241506,119.3655063
WhiteNH,Male,some_coll_,Age_75_,11,139.5670479,143.697763
WhiteNH,Male,some_coll_,Age_75_,12,142.4521214,153.8290806
